time,VIC_price_close,VIC_volume,KDH_price_close,KDN_Volume,DXG_price close,DXG_Volume,,,,,,,,,,,Mã Cổ Phiếu,time,Price open,Price high,Price low,Price close,Volume
2017-11-01,"27,364.548754 ₫",209396126,"12,171.58646737 ₫",30713037.87,"9,250.88926366 ₫",168437056.3,,,,,,,,,,,DXG,2022-03-01,"32,765.22936970 ₫","36,841.47236001 ₫","29,775.98451015 ₫","36,181.50920920 ₫",390649944.7
2017-12-01,"28,393.015016 ₫",116767300,"11,305.13454946 ₫",15169391.87,"10,119.62759377 ₫",207658545.6,,,,,,,,,,,DXG,2022-04-01,"35,948.58103832 ₫","36,686.18691276 ₫","24,224.52977097 ₫","28,417.23684671 ₫",291988245.1
2018-01-02,"31,588.606615 ₫",215278154,"14,234.56722460 ₫",23270449.15,"14,322.44276408 ₫",248878948.5,,,,,,,,,,,DXG,2022-05-04,"27,951.38050496 ₫","28,339.59412309 ₫","18,051.93324279 ₫","21,468.21308228 ₫",231010819.6
2018-02-01,"34,857.660091 ₫",103420140,"14,234.56722460 ₫",9225361.225,"15,637.28997223 ₫",113948317.4,,,,,,,,,,,DXG,2022-06-01,"21,468.21308228 ₫","21,701.14125316 ₫","13,354.54846348 ₫","15,140.33110685 ₫",276408375.3
2018-03-01,"43,048.659248 ₫",152560936,"14,956.61048967 ₫",23430709.98,"17,093.01366063 ₫",168144301.1,,,,,,,,,,,DXG,2022-07-01,"15,140.33110685 ₫","19,643.60907710 ₫","14,441.54659423 ₫","19,255.39545897 ₫",250611291.5
2018-04-02,"46,280.981785 ₫",196015154,"15,059.75952683 ₫",32379848.83,"15,449.45465516 ₫",164398563.7,,,,,,,,,,,DXG,2022-08-01,"19,255.39545897 ₫","23,021.06755478 ₫","19,138.93137354 ₫","20,575.32176060 ₫",319023466.7
2018-05-02,"42,607.887993 ₫",185717686,"13,677.56241981 ₫",14000954.39,"16,317.01444896 ₫",131036035.1,,,,,,,,,,,DXG,2022-09-05,"20,575.32176060 ₫","20,847.07129328 ₫","14,519.18931785 ₫","15,761.47289585 ₫",291120505.9
2018-06-01,"47,777.783750 ₫",205520980,"12,790.48069446 ₫",12094039.54,"14,406.72982953 ₫",175267615.7,,,,,,,,,,,DXG,2022-10-03,"15,528.54472498 ₫","15,839.11561948 ₫","9,355.94819680 ₫","10,869.98130748 ₫",271481646.1
2018-07-02,"47,288.894800 ₫",92778318,"12,419.14415821 ₫",10359279.83,"13,796.50002207 ₫",171239245.3,,,,,,,,,,,DXG,2022-11-01,"11,064.08811655 ₫","11,335.83764923 ₫","6,164.83225582 ₫","9,938.26862399 ₫",390576317.7
2018-08-01,"45,955.561300 ₫",107993730,"13,203.07684557 ₫",22102068.54,"15,070.02309917 ₫",131403522.3,,,,,,,,,,,DXG,2022-12-01,"10,598.23177480 ₫","12,189.90760911 ₫","9,239.48411136 ₫","9,899.44726217 ₫",447013541
2018-09-04,"43,688.894350 ₫",52835478,"14,729.68186990 ₫",12524535.68,"15,972.10194860 ₫",127459916.7,,,,,,,,,,,DXG,2023-01-03,"9,821.80453855 ₫","11,646.40854373 ₫","9,511.23364405 ₫","11,568.76582011 ₫",160156532.4
2018-10-01,"43,200.005400 ₫",91820020,"13,949.87518254 ₫",14756161.22,"12,894.42117264 ₫",125944733.3,,,,,,,,,,,DXG,2023-02-01,"11,646.40854373 ₫","11,762.87262917 ₫","7,492.52282980 ₫","7,764.27236249 ₫",306205371.5
2018-11-01,"45,200.005650 ₫",57965596,"13,018.43941691 ₫",27454746.89,"12,867.88944155 ₫",63473421.02,,,,,,,,,,,DXG,2023-03-01,"7,616.75118760 ₫","9,860.62590036 ₫","7,539.10846398 ₫","9,744.16181492 ₫",450265102.4
2018-12-03,"42,355.560850 ₫",23497486,"14,296.45593202 ₫",37087190.75,"12,629.10386554 ₫",79991583.48,,,,,,,,,,,DXG,2023-04-03,"10,054.73270942 ₫","11,025.26675473 ₫","9,627.69772949 ₫","10,481.76768936 ₫",458836443.6
2019-01-02,"46,177.783550 ₫",28355240,"13,040.10071380 ₫",12865480.94,"12,284.19136518 ₫",37991938.3,,,,,,,,,,,DXG,2023-05-04,"10,326.48224211 ₫","11,801.69399098 ₫","10,171.19679486 ₫","11,568.76582011 ₫",472617355.8
2019-02-01,"50,666.673000 ₫",32773346,"13,343.35887032 ₫",7186279.313,"13,000.54809699 ₫",44179534.63,,,,,,,,,,,DXG,2023-06-01,"11,568.76582011 ₫","12,500.47850361 ₫","10,869.98130748 ₫","11,529.94445830 ₫",549103466.8
2019-03-01,"51,511.117550 ₫",49019866,"13,733.26221359 ₫",11149443.55,"11,833.15194046 ₫",65350797.22,,,,,,,,,,,DXG,2023-07-03,"11,607.58718192 ₫","14,868.58157417 ₫","11,064.08811655 ₫","14,752.11748873 ₫",571115195.9
2019-04-01,"50,533.339650 ₫",29635516,"13,430.00405790 ₫",13959083.56,"11,302.51732627 ₫",31236832.83,,,,,,,,,,,DXG,2023-08-01,"14,752.11748873 ₫","17,547.25553923 ₫","13,898.04752886 ₫","17,275.50600654 ₫",800511770.7
